varied_value,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J,jains_fairness_index
1,7.96302,7.5691,99.3914,0.608645,720.085,0.999564
2,6.63428,48.9269,87.2575,9.48366,707.865,0.995608
3,5.84392,213.493,82.6675,13.9711,709.404,0.939847
4,6.30012,126.141,89.5819,8.91877,709.68,0.990957
5,0,0,0,0,688.078,0
