varied_value,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J_approx,jains_fairness_index
50,8.41507,18.9792,100,0,19.2784,0.979425
100,8.41507,18.9792,100,0,19.2784,0.979425
200,8.41507,18.9792,100,0,19.2784,0.979425
500,8.41507,18.9792,100,0,19.2784,0.979425
1000,8.41507,18.9792,100,0,19.2784,0.979425
