varied_value,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J,jains_fairness_index
100,7.94173,7.67108,99.0889,0.911084,719.653,0.99965
200,11.6824,302.846,72.8693,23.3541,739.797,0.932899
300,12.5005,276.506,56.5628,39.535,741.183,0.740389
400,13.324,254.583,44.0055,49.7486,744.488,0.505718
500,14.049,312.77,37.4424,57.2557,747.589,0.395618
