varied_value,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J,jains_fairness_index
10,8.01327,7.38727,100,0,719.86,1
20,9.74672,211.842,64.2538,27.4893,732.179,0.922539
30,10.9126,249.475,76.1587,19.8818,738.069,0.923458
40,11.6314,276.291,79.5618,17.8223,739.694,0.932348
50,11.3886,346.877,75.0249,20.6099,736.619,0.933106
