nodes,flows,pps,pkt_size,speed_ms,wpan_area,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
20,30,400,1024,20,200,40,0.0919972,234.594,81.4458,15.8233,2.6632
20,30,400,1024,25,200,40,0.0951689,465.962,81.6858,12.7969,2.6675
20,30,500,1024,5,200,40,0.0847407,318.139,80.8055,16.8809,2.63009
20,30,500,1024,10,200,40,0.100505,388.236,79.489,16.3946,2.70519
20,30,500,1024,15,200,40,0.0814833,235.675,82.0896,15.6277,2.61663
20,30,500,1024,20,200,40,0.0758014,225.303,79.3296,18.4358,2.59959
20,30,500,1024,25,200,40,0.0941704,381.153,82.1844,14.1751,2.66451
20,40,100,1024,5,200,40,0.101559,242.971,84.6827,12.108,2.69407
20,40,100,1024,10,200,40,0.0924273,268.802,81.6718,15.1074,2.66634
20,40,100,1024,15,200,40,0.0978833,242.327,83.524,14.4165,2.68207
20,40,100,1024,20,200,40,0.0690052,238.207,75.3595,20.1342,2.58113
20,40,100,1024,25,200,40,0.0949016,272.25,82.9705,13.9191,2.66864
20,40,200,1024,5,200,40,0.0969732,338.83,81.0022,16.1556,2.68659
20,40,200,1024,10,200,40,0.107255,528.31,84.5815,12.8488,2.71149
20,40,200,1024,15,200,40,0.0881901,225.521,78.9013,17.5955,2.65847
20,40,200,1024,20,200,40,0.0952536,243.787,81.5242,16.0123,2.68023
20,40,200,1024,25,200,40,0.0790805,427.388,80.1406,16.5202,2.60613
20,40,300,1024,5,200,40,0.0950419,257.877,80.6115,15.4362,2.68016
20,40,300,1024,10,200,40,0.0979191,383.795,81.8933,13.9745,2.68285
20,40,300,1024,15,200,40,0.0809976,175.045,78.7342,16.6245,2.62683
20,40,300,1024,20,200,40,0.0909158,196.852,79.9234,16.3218,2.6671
20,40,300,1024,25,200,40,0.103016,412.112,84.3588,13.195,2.69705
20,40,400,1024,5,200,40,0.0924442,521.869,78.8956,15.1286,2.6685
20,40,400,1024,10,200,40,0.0950541,381.946,78.7791,16.7151,2.68539
20,40,400,1024,15,200,40,0.0711341,252.244,78.4936,19.1278,2.57963
20,40,400,1024,20,200,40,0.0919972,234.594,81.4458,15.8233,2.6632
20,40,400,1024,25,200,40,0.0951689,465.962,81.6858,12.7969,2.6675
20,40,500,1024,5,200,40,0.0847407,318.139,80.8055,16.8809,2.63009
20,40,500,1024,10,200,40,0.100505,388.236,79.489,16.3946,2.70519
20,40,500,1024,15,200,40,0.0814833,235.675,82.0896,15.6277,2.61663
20,40,500,1024,20,200,40,0.0758014,225.303,79.3296,18.4358,2.59959
20,40,500,1024,25,200,40,0.0941704,381.153,82.1844,14.1751,2.66451
20,50,100,1024,5,200,40,0.101559,242.971,84.6827,12.108,2.69407
20,50,100,1024,10,200,40,0.0924273,268.802,81.6718,15.1074,2.66634
20,50,100,1024,15,200,40,0.0978833,242.327,83.524,14.4165,2.68207
20,50,100,1024,20,200,40,0.0690052,238.207,75.3595,20.1342,2.58113
20,50,100,1024,25,200,40,0.0949016,272.25,82.9705,13.9191,2.66864
20,50,200,1024,5,200,40,0.0969732,338.83,81.0022,16.1556,2.68659
20,50,200,1024,10,200,40,0.107255,528.31,84.5815,12.8488,2.71149
20,50,200,1024,15,200,40,0.0881901,225.521,78.9013,17.5955,2.65847
20,50,200,1024,20,200,40,0.0952536,243.787,81.5242,16.0123,2.68023
20,50,200,1024,25,200,40,0.0790805,427.388,80.1406,16.5202,2.60613
20,50,300,1024,5,200,40,0.0950419,257.877,80.6115,15.4362,2.68016
20,50,300,1024,10,200,40,0.0979191,383.795,81.8933,13.9745,2.68285
20,50,300,1024,15,200,40,0.0809976,175.045,78.7342,16.6245,2.62683
20,50,300,1024,20,200,40,0.0909158,196.852,79.9234,16.3218,2.6671
20,50,300,1024,25,200,40,0.103016,412.112,84.3588,13.195,2.69705
20,50,400,1024,5,200,40,0.0924442,521.869,78.8956,15.1286,2.6685
20,50,400,1024,10,200,40,0.0950541,381.946,78.7791,16.7151,2.68539
20,50,400,1024,15,200,40,0.0711341,252.244,78.4936,19.1278,2.57963
20,50,400,1024,20,200,40,0.0919972,234.594,81.4458,15.8233,2.6632
20,50,400,1024,25,200,40,0.0951689,465.962,81.6858,12.7969,2.6675
20,50,500,1024,5,200,40,0.0847407,318.139,80.8055,16.8809,2.63009
20,50,500,1024,10,200,40,0.100505,388.236,79.489,16.3946,2.70519
20,50,500,1024,15,200,40,0.0814833,235.675,82.0896,15.6277,2.61663
20,50,500,1024,20,200,40,0.0758014,225.303,79.3296,18.4358,2.59959
20,50,500,1024,25,200,40,0.0941704,381.153,82.1844,14.1751,2.66451
40,10,100,1024,5,200,40,0.110861,317.584,80.7369,16.031,4.99201
40,10,100,1024,10,200,40,0.0888282,359.522,81.5855,16.0198,4.89236
40,10,100,1024,15,200,40,0.0970419,194.395,81.4275,15.0036,4.93303
40,10,100,1024,20,200,40,0.0955445,231.487,81.4701,15.2374,4.92379
40,10,100,1024,25,200,40,0.0775144,198.43,79.3566,16.8901,4.85271
40,10,200,1024,5,200,40,0.100336,245.232,80.613,15.5381,4.95083
40,10,200,1024,10,200,40,0.10498,221.108,81.3058,15.2577,4.96921
40,10,200,1024,15,200,40,0.10049,258.496,81.1867,16.2084,4.94846
40,10,200,1024,20,200,40,0.0971784,219.459,81.0791,15.595,4.93374
40,10,200,1024,25,200,40,0.0802165,226.238,78.8136,17.7966,4.86682
40,10,300,1024,5,200,40,0.0982786,226.004,79.8711,16.0458,4.94807
40,10,300,1024,10,200,40,0.103047,210.304,82.1652,15.1284,4.95857
40,10,300,1024,15,200,40,0.104348,242.808,82.6936,13.6078,4.96047
40,10,300,1024,20,200,40,0.0993656,246.458,81.9672,15.3502,4.93662
40,10,300,1024,25,200,40,0.0826654,221.363,78.648,17.3949,4.87915
40,10,400,1024,5,200,40,0.11075,268.14,84.6774,13.2392,4.98312
40,10,400,1024,10,200,40,0.0897534,213.757,79.6557,16.5102,4.90531
40,10,400,1024,15,200,40,0.105719,253.555,83.8102,13.9567,4.9624
40,10,400,1024,20,200,40,0.0924555,192.088,78.0853,16.6791,4.92438
40,10,400,1024,25,200,40,0.0918936,195.478,78.2186,18.0389,4.92005
40,10,500,1024,5,200,40,0.103518,289.036,82.7661,15.496,4.95604
40,10,500,1024,10,200,40,0.0846071,406.431,79.3191,17.7872,4.87512
40,10,500,1024,15,200,40,0.0930419,244.385,81.9466,15.5416,4.91345
40,10,500,1024,20,200,40,0.0931558,214.958,79.7401,16.5138,4.9184
