varied_value,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J_approx,jains_fairness_index
10,8.41507,18.9792,100,0,19.2784,0.979425
20,8.41507,18.9792,100,0,19.2784,0.979425
30,8.41507,18.9792,100,0,19.2784,0.979428
40,8.41507,18.9792,100,0,19.2784,0.979425
50,8.41507,18.9792,100,0,19.2784,0.979425
